Player,Date,Date_Error,Tm,Opp,PA,AB,R,H,2B,3B,Home Runs,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS, ,OBP,SLG,OPS
Vlad Guerrero Jr.,04/01/2021,Apr 1,TOR,NYY,4,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.5,0.75,0.5,1.25
Vlad Guerrero Jr.,04/03/2021,Apr 3,TOR,NYY,4,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.625,0.4,1.025
Vlad Guerrero Jr.,04/04/2021,Apr 4,TOR,NYY,4,4,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0.333,0.5,0.667,1.167
Vlad Guerrero Jr.,04/05/2021,Apr 5,TOR,TEX,4,3,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0.333,0.5,0.583,1.083
Vlad Guerrero Jr.,04/06/2021,Apr 6,TOR,TEX,4,3,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0.267,0.45,0.467,0.917
Vlad Guerrero Jr.,04/07/2021,Apr 7,TOR,TEX,4,4,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.316,0.458,0.526,0.985
Vlad Guerrero Jr.,04/08/2021,Apr 8,TOR,LAA,5,4,1,2,0,0,2,1,3,1,0,2,0,0,0,0,0,0,0,0.348,0.483,0.652,1.135
Vlad Guerrero Jr.,04/09/2021,Apr 9,TOR,LAA,4,2,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0.36,0.515,0.64,1.155
Vlad Guerrero Jr.,04/10/2021,Apr 10,TOR,LAA,6,4,1,2,0,0,2,0,3,2,0,0,0,0,0,0,0,1,0,0.379,0.538,0.621,1.159
Vlad Guerrero Jr.,04/12/2021,Apr 12,TOR,NYY,4,4,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0.364,0.512,0.576,1.087
Vlad Guerrero Jr.,04/13/2021,Apr 13,TOR,NYY,5,4,0,2,1,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0.378,0.521,0.595,1.115
Vlad Guerrero Jr.,04/14/2021,Apr 14,TOR,NYY,4,4,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0.519,0.585,1.105
Vlad Guerrero Jr.,04/15/2021,Apr 15,TOR,KCR,5,5,2,3,1,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0.413,0.526,0.674,1.2
Vlad Guerrero Jr.,04/17/2021,04/17/2021,TOR,KCR,3,3,2,2,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0.429,0.533,0.735,1.268
Vlad Guerrero Jr.,04/17/2021,04/17/2021,TOR,KCR,3,2,1,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0.412,0.524,0.706,1.23
Vlad Guerrero Jr.,04/18/2021,Apr 18,TOR,KCR,4,3,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0.389,0.507,0.667,1.174
Vlad Guerrero Jr.,04/20/2021,Apr 20,TOR,BOS,4,3,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0.368,0.493,0.632,1.125
Vlad Guerrero Jr.,04/21/2021,Apr 21,TOR,BOS,5,3,1,2,1,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0.383,0.513,0.65,1.163
Vlad Guerrero Jr.,04/23/2021,Apr 23,TOR,TBR,4,3,1,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0.381,0.513,0.635,1.147
Vlad Guerrero Jr.,04/24/2021,Apr 24,TOR,TBR,5,5,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0.353,0.482,0.588,1.071
Vlad Guerrero Jr.,04/25/2021,Apr 25,TOR,TBR,4,3,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0.338,0.472,0.563,1.035
Vlad Guerrero Jr.,04/27/2021,Apr 27,TOR,WSN,4,4,3,3,0,0,7,3,7,0,0,0,0,0,0,0,1,0,0,0.36,0.484,0.693,1.177
Vlad Guerrero Jr.,04/28/2021,Apr 28,TOR,WSN,4,3,0,0,0,0,7,0,0,1,1,2,0,0,0,0,0,0,0,0.346,0.474,0.667,1.141
Vlad Guerrero Jr.,04/30/2021,Apr 30,TOR,ATL,5,2,1,1,0,0,7,0,1,3,0,1,0,0,0,0,0,0,0,0.35,0.49,0.663,1.153
Vlad Guerrero Jr.,05/01/2021,May 1,TOR,ATL,5,3,1,1,0,0,7,0,0,1,1,1,1,0,0,0,1,0,0,0.349,0.495,0.651,1.146
Vlad Guerrero Jr.,05/02/2021,May 2,TOR,ATL,4,3,1,0,0,0,7,0,0,1,0,1,0,0,0,0,0,0,0,0.337,0.486,0.628,1.114
Vlad Guerrero Jr.,05/03/2021,May 3,TOR,OAK,4,4,1,3,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0.356,0.496,0.644,1.14
Vlad Guerrero Jr.,05/04/2021,May 4,TOR,OAK,4,4,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0.34,0.479,0.617,1.096
